#,Link,Line of theorem/Date
63,https://github.com/isabelle-prover/mirror-isabelle/blob/32f9b52fc87a8745a5442f508d15e669c2f19301/src/HOL/Set.thy,955
64,https://github.com/isabelle-prover/mirror-isabelle/blob/415d9d8e594d8df04f150d24e3f4a201fbc92643/src/HOL/Deriv.thy,2173
65,https://www.isa-afp.org/entries/Triangle.html,12/28/2015
66,https://github.com/isabelle-prover/mirror-isabelle/blob/e46f66edc1df7dd1239145fb6d6786d4f2fa6079/src/HOL/Series.thy,592
67,https://www.isa-afp.org/entries/E_Transcendental.html,1/12/2017
68,,
69,https://github.com/isabelle-prover/mirror-isabelle/blob/bc5f7db372c39050614ffc97da69316438aa81c7/src/HOL/Computational_Algebra/Euclidean_Algorithm.thy,86
70,https://www.isa-afp.org/entries/Perfect-Number-Thm.html,11/22/2009
71,https://github.com/isabelle-prover/mirror-isabelle/blob/35f7efa2174427d059354a12335bd195931d30b9/src/HOL/Algebra/Coset.thy,908
72,https://github.com/isabelle-prover/mirror-isabelle/blob/77f84d56844e9e7f79fe3c9823ceec7baa4e8ca1/src/HOL/Algebra/Sylow.thy,350
73,https://github.com/isabelle-prover/mirror-isabelle/blob/bc5f7db372c39050614ffc97da69316438aa81c7/src/HOL/ex/Erdoes_Szekeres.thy,42
74,https://github.com/isabelle-prover/mirror-isabelle/blob/9e17dcbf63a7893ff6b9d1d5e333dfbcdffc2b35/src/ZF/Nat.thy,89
75,https://github.com/isabelle-prover/mirror-isabelle/blob/415d9d8e594d8df04f150d24e3f4a201fbc92643/src/HOL/Deriv.thy,1611
76,https://www.isa-afp.org/entries/Fourier.html,9/6/2019
77,https://www.isa-afp.org/entries/Bernoulli.html,1/24/2017
78,https://github.com/isabelle-prover/mirror-isabelle/blob/bc5f7db372c39050614ffc97da69316438aa81c7/src/HOL/Analysis/Inner_Product.thy,125
79,https://github.com/isabelle-prover/mirror-isabelle/blob/d2999b9b1bc8f9364b185b13e21dffa813d884f4/src/HOL/Topological_Spaces.thy,3175
80,https://github.com/isabelle-prover/mirror-isabelle/blob/a0b90cde837a768d7f35255c2d492481dcb65b10/src/HOL/Computational_Algebra/Factorial_Ring.thy,1448
81,https://www.isa-afp.org/entries/Prime_Harmonic_Series.html,12/28/2015
82,,
83,https://www.isa-afp.org/entries/Koenigsberg_Friendship.html,7/17/2013
84,https://www.isa-afp.org/entries/Integration.html,11/19/2004
85,https://github.com/isabelle-prover/mirror-isabelle/blob/bc5f7db372c39050614ffc97da69316438aa81c7/src/HOL/ex/ThreeDivides.thy,220
86,https://www.isa-afp.org/entries/Integration.html,11/19/2004
87,https://www.isa-afp.org/entries/Projective_Geometry.html,6/14/2008
88,https://www.isa-afp.org/entries/Derangements.html,6/27/2015
89,https://github.com/isabelle-prover/mirror-isabelle/blob/77f84d56844e9e7f79fe3c9823ceec7baa4e8ca1/src/HOL/Algebra/UnivPoly.thy,1548
90,https://www.isa-afp.org/entries/Stirling_Formula.html,9/1/2016
91,https://isabelle.in.tum.de/dist/library/HOL/HOL/Groups.html,
92,,
93,https://github.com/isabelle-prover/mirror-isabelle/blob/bc5f7db372c39050614ffc97da69316438aa81c7/src/HOL/ex/Birthday_Paradox.thy,76
94,https://www.isa-afp.org/entries/Triangle.html,12/28/2015
95,https://www.isa-afp.org/entries/Ptolemys_Theorem.html,8/7/2016
96,https://github.com/isabelle-prover/mirror-isabelle/blob/32f9b52fc87a8745a5442f508d15e669c2f19301/src/HOL/Binomial.thy,1178
97,https://github.com/isabelle-prover/mirror-isabelle/blob/a2b3e8bf88ca9b9abd1c89f5e93e70b025af89b3/src/HOL/Analysis/Determinants.thy,903
98,https://www.isa-afp.org/entries/Bertrands_Postulate.html,1/17/2017
99,https://www.isa-afp.org/entries/Buffons_Needle.html,6/6/2017
100,https://www.isa-afp.org/entries/Descartes_Sign_Rule.html,12/28/2015
